section_name,division_name,group_name,class_name,includes,excludes
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities","growing of non,perennial crops","growing of cereals (except rice), leguminous crops and oil seeds","all forms of growing of cereals, leguminous crops and oil seeds in open fields, for obtaining crops or for seed production. the growing of these crops is often combined within agricultural units. , growing of cereals such as:  wheat  grain maize  sorghum  barley  rye  oats  millets pseudocereals, fruits or seeds , used as cereals, such as  quinoa  amaranth  chia , growing of leguminous crops such as:  beans  broad beans  chick peas  cow peas  lentils  lupines  peas  pigeon peas , growing of oil seeds such as:  soya beans  groundnuts  castor bean  linseed  mustard seed  niger seed  rapeseed  safflower seed  sesame seed  sunflower seed","growing of rice, growing of sweet corn, growing of maize, lupines, kale for fodder, growing of oleaginous fruits"
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities","growing of non,perennial crops",growing of rice,growing of rice,
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities","growing of non,perennial crops","growing of vegetables and melons, roots and tubers","growing of leafy or stem vegetables, such as:  artichokes  asparagus  cabbages  cauliflower and broccoli  lettuce and chicory  spinach , growing of fruit bearing vegetables,such as:  cucumbers and gherkins  eggplants (aubergines)  tomatoes  melons , growing of root, bulb or tuberous vegetables, such as.:  carrots  turnips  garlic  onions (incl. shallots)  leeks and other alliaceous vegetables , growing of mushrooms and truffles , growing of vegetable seeds, including sugar beet seeds, excluding other beet seeds , growing of sugar beet , growing of chillies, peppers (capsicum spp.) , growing of roots and tubers, such as:  potatoes  sweet potatoes  cassava  yams; also: growing of sweet corn","spices and aromatic crops, . , growing of mushroom spawn"
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities","growing of non,perennial crops",growing of sugar cane,growing of sugar cane,growing of sugar beet
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities","growing of non,perennial crops",growing of tobacco,growing of unmanufactured tobacco,manufacture of tobacco products
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities","growing of non,perennial crops",growing of fibre crops,"growing of fiber crops such as: , growing of cotton , growing of jute, kenaf and other textile bast fibres , growing of flax and hemp , growing of sisal and other textile fibre of the genus agave , growing of abaca, ramie and other vegetable textile fibres",
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities","growing of non,perennial crops","growing of other non,perennial crops","the growing of all other non,perennial crops, e.g: , growing of swedes, mangolds, roots, clover, alfalfa, sainfoin, maize, lupines, other grasses, kale for fodder and similar crops forage products , growing of beet seeds and seeds of forage plants , growing of flowers , production of cut flowers and flower buds , growing of flower seeds","growing of non,perennial spices, aromatic, drug and pharmaceutical crops, growing of sugar beet seeds"
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities",growing of perennial crops,growing of grapes,"growing of grapes for consumption or the production of wine, juice, vinegar and other dried fruit, e.g. raisins, zante currants and sultanas","manufacture of wine, processing and preserving of grapes"
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities",growing of perennial crops,growing of tropical and subtropical fruits,growing of tropical and subtropical fruits such as:  avocados  bananas and plantains  dates  figs  mangoes  papayas  pineapples,
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities",growing of perennial crops,growing of citrus fruits,"growing of citrus fruits such as:  grapefruit and pomelo  lemons and limes  oranges  tangerines, mandarins and clementines",
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities",growing of perennial crops,growing of pome fruits and stone fruits,growing of pome fruits and stone fruits such as:  apples  apricots  cherries and sour cherries  peaches and nectarines  pears and quinces  plums and sloes,
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities",growing of perennial crops,growing of other tree and bush fruits and nuts,"growing of berries such as:  blueberries  currants  gooseberries  kiwi fruit  raspberries  strawberries , growing of fruit seeds , growing of edible nuts such as:  almonds  cashew nuts  chestnuts  hazelnuts  pistachios  walnuts , growing of other tree and bush fruits such as:  locust beans",growing of coconuts
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities",growing of perennial crops,growing of oleaginous fruits,growing of oleaginous fruits such as:  coconuts  olives  oil palms,"growing of soya beans, groundnuts and other oil seeds"
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities",growing of perennial crops,growing of beverage crops,growing of beverage crops:  coffee  tea  mat  cocoa,growing of grapes  growing of hops
"agriculture, forestry and fishing","crop and animal production, hunting and related service activities",growing of perennial crops,"growing of spices, aromatic, drug and pharmaceutical crops","growing of perennial and non,perennial spices and aromatic crops:  pepper (piper spp.)  nutmeg, mace and cardamoms  anise, badian and fennel  cinnamon (canella)  cloves  ginger  vanilla  hops  caraway , growing of drug and narcotic crops; also: sun drying of spices, aromatic, medicinal and pharmaceutical plants, if carried out by the same unit that grows them","sun drying of spices, aromatic, medicinal and pharmaceutical plants if carried out by a different unit"
