brand,brandLabel,brandAlt_en,owner,ownerLabel,industries,isic_codes,country,countryLabel
http://www.wikidata.org/entity/Q74050,Roomba,IRobot Roomba,http://www.wikidata.org/entity/Q285161,iRobot,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q79576,Google Play,Google Play Store|Play Store|Android App Store|Android Market,http://www.wikidata.org/entity/Q95,Google,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q140258,Zagat,Zagat Guide|Zagat Survey,http://www.wikidata.org/entity/Q95,Google,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q140258,Zagat,Zagat Guide|Zagat Survey,http://www.wikidata.org/entity/Q192314,JPMorgan Chase,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q901268,Squier,Fender Squire|V.C. Squier Company,http://www.wikidata.org/entity/Q175391,Fender Musical Instruments Corporation,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q903922,Downy,Lenor,http://www.wikidata.org/entity/Q212405,Procter & Gamble,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q910264,Febreze,Febreze~,http://www.wikidata.org/entity/Q212405,Procter & Gamble,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q910740,Vicks,Vicks Medications|Vicks Vapodrops,http://www.wikidata.org/entity/Q212405,Procter & Gamble,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q911211,Elastoplast,Hansaplast,http://www.wikidata.org/entity/Q201691,Beiersdorf,,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q922032,Charmin,Charmin toilet paper,http://www.wikidata.org/entity/Q212405,Procter & Gamble,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q935432,Tomica,Tomica brand,http://www.wikidata.org/entity/Q1335998,Tomy,,,http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q939291,Marquette,Marquette automobiles|Marquette Motor Car Company,http://www.wikidata.org/entity/Q81965,General Motors,,,http://www.wikidata.org/entity/Q30,United States
